Thu 03:48:00 PM;404.969;-33.998;88;Este;;;; Level
Thu 03:49:00 PM;405.001;-32.328;89;Este;;;; Level
Thu 03:50:00 PM;405.030;-30.658;89;Este;;;; Level
Thu 03:51:00 PM;405.056;-28.988;89;Este;;;; Level
Thu 03:51:42 PM;404.238;-35.030;134;Sudeste;178;330;3.500; Level
Thu 03:52:00 PM;405.081;-27.318;89;Este;;;; Level
Thu 03:52:02 PM;404.134;-34.886;133;Sudeste;181;335;3.900; Level
Thu 03:52:17 PM;404.035;-34.754;135;Sudeste;183;340;4.300;1.600 Climbing
Thu 03:52:32 PM;403.951;-34.642;134;Sudeste;185;343;4.700;1.600 Climbing
Thu 03:52:47 PM;403.852;-34.514;135;Sudeste;185;343;5.100;1.400 Climbing
Thu 03:53:02 PM;403.762;-34.400;137;Sudeste;198;367;5.400;982 Climbing
Thu 03:53:42 PM;403.417;-34.128;151;Sudeste;243;451;6.000;873 Climbing
Thu 03:53:57 PM;403.259;-34.015;151;Sudeste;258;478;6.200;1.543 Climbing
Thu 03:54:17 PM;403.045;-33.860;150;Sudeste;274;507;6.900;2.057 Climbing
Thu 03:54:32 PM;402.872;-33.732;150;Sudeste;279;517;7.400;2.200 Climbing
Thu 03:54:47 PM;402.700;-33.605;150;Sudeste;282;523;8.000;2.600 Climbing
Thu 03:55:02 PM;402.553;-33.458;129;Sudeste;286;529;8.700;2.600 Climbing
Thu 03:55:17 PM;402.460;-33.215;105;Este;292;541;9.300;2.200 Climbing
Thu 03:55:32 PM;402.411;-32.952;103;Este;297;550;9.800;1.915 Climbing
Thu 03:56:04 PM;402.310;-32.469;106;Este;306;566;10.800;2.308 Climbing
Thu 03:56:37 PM;402.161;-31.812;106;Este;308;570;12.300;1.905 Climbing
Thu 03:57:07 PM;402.033;-31.242;106;Este;338;626;12.800;900 Climbing
Thu 03:57:37 PM;401.897;-30.630;106;Este;367;679;13.200;778 Climbing
Thu 03:58:01 PM;401.785;-30.129;106;Este;390;723;13.500;800 Climbing
Thu 03:58:37 PM;401.588;-29.249;106;Este;420;777;14.000;1.183 Climbing
Thu 03:59:12 PM;401.397;-28.392;106;Este;433;801;14.900;1.662 Climbing
Thu 03:59:42 PM;401.225;-27.629;106;Este;443;821;15.800;1.700 Climbing
Thu 04:00:12 PM;401.050;-26.847;106;Este;452;837;16.600;1.500 Climbing
Thu 04:00:42 PM;400.871;-26.051;106;Este;465;861;17.300;1.579 Climbing
Thu 04:01:47 PM;400.469;-24.287;106;Este;478;885;19.100;1.705 Climbing
Thu 04:02:17 PM;400.275;-23.439;106;Este;482;893;20.000;1.543 Climbing
Thu 04:02:57 PM;400.023;-22.341;106;Este;490;908;20.900;1.440 Climbing
Thu 04:03:32 PM;399.791;-21.333;106;Este;497;921;21.800;1.543 Climbing
Thu 04:04:07 PM;399.554;-20.310;106;Este;502;930;22.700;1.385 Climbing
Thu 04:04:37 PM;399.341;-19.471;113;Sudeste;504;933;23.300;1.300 Climbing
Thu 04:05:07 PM;398.980;-18.685;123;Sudeste;500;925;24.000;1.286 Climbing
Thu 04:05:47 PM;398.494;-17.680;121;Sudeste;509;943;24.800;1.280 Climbing
Thu 04:06:22 PM;398.055;-16.760;121;Sudeste;511;946;25.600;1.280 Climbing
Thu 04:07:02 PM;397.544;-15.706;122;Sudeste;515;954;26.400;1.138 Climbing
Thu 04:07:20 PM;397.305;-15.214;122;Sudeste;519;961;26.700;857 Climbing
Thu 04:07:51 PM;396.911;-14.404;122;Sudeste;528;978;27.100;941 Climbing
Thu 04:08:11 PM;396.705;-13.982;122;Sudeste;527;975;27.500;1.286 Climbing
Thu 04:08:47 PM;396.202;-12.949;122;Sudeste;529;980;28.300;1.026 Climbing
Thu 04:09:27 PM;395.673;-11.872;122;Sudeste;534;990;28.800;844 Climbing
Thu 04:09:51 PM;395.355;-11.198;119;Sudeste;537;995;29.200;1.333 Climbing
Thu 04:10:21 PM;394.977;-10.321;119;Sudeste;533;987;30.000;1.500 Climbing
Thu 04:10:51 PM;394.620;-0.9507;119;Sudeste;531;983;30.700;1.200 Climbing
Thu 04:11:21 PM;394.285;-0.8749;119;Sudeste;532;985;31.200;1.300 Climbing
Thu 04:11:51 PM;393.881;-0.7830;119;Sudeste;524;970;32.000;923 Climbing
Thu 04:12:13 PM;393.634;-0.7271;119;Sudeste;528;978;32.000; Level
Thu 04:12:31 PM;393.399;-0.6739;119;Sudeste;524;970;32.000; Level
Thu 04:12:49 PM;393.228;-0.6354;119;Sudeste;526;974;32.000;462 Level
Thu 04:13:10 PM;392.951;-0.5734;119;Sudeste;530;982;32.300;1.180 Climbing
Thu 04:13:50 PM;392.555;-0.4846;119;Sudeste;523;969;33.200;1.538 Climbing
Thu 04:15:07 PM;391.531;-0.2577;120;Sudeste;513;950;35.300;1.415 Climbing
Thu 04:15:36 PM;391.221;-0.1715;107;Este;524;970;35.700;667 Climbing
Thu 04:15:52 PM;391.122;-0.1257;105;Este;528;978;35.800;188 Climbing
Thu 04:16:08 PM;391.013;-0.0765;106;Este;532;985;35.800;831 Level
Thu 04:16:57 PM;390.661;0.0715;106;Este;531;983;36.700;911 Climbing
Thu 04:17:27 PM;390.466;0.1536;106;Este;531;983;37.000;277 Climbing
Thu 04:18:02 PM;390.201;0.2646;107;Este;532;985;37.000; Level
Thu 04:18:37 PM;389.956;0.3675;107;Este;532;985;37.000; Level
Thu 04:18:59 PM;389.811;0.4280;107;Este;531;983;37.000; Level
Thu 04:19:29 PM;389.572;0.5270;107;Este;531;983;37.000; Level
Thu 04:20:29 PM;389.133;0.7078;107;Este;532;985;37.000; Level
Thu 04:21:29 PM;388.693;0.8875;107;Este;532;985;37.000; Level
Thu 04:21:59 PM;388.542;0.9489;107;Este;532;985;37.000;40 Level
Thu 05:11:11 PM;364.241;92.812;99;Este;493;912;39.000;36 Climbing
Thu 05:17:00 PM;366.500;101.965;61;Noreste;512;948;39.000; Level
Thu 05:17:35 PM;366.895;102.851;61;Noreste;513;950;39.000; Level
Thu 05:18:50 PM;367.550;104.924;81;Este;514;953;39.000; Level
Thu 05:19:15 PM;367.555;105.661;97;Este;516;956;39.000; Level
Thu 05:19:50 PM;367.462;106.678;89;Este;523;969;39.000; Level
Thu 05:20:45 PM;367.604;108.350;86;Este;530;982;39.000; Level
Thu 05:21:25 PM;367.476;109.523;107;Este;523;969;39.000; Level
Thu 05:22:00 PM;367.247;110.477;107;Este;524;970;39.000; Level
Thu 05:22:40 PM;366.988;111.635;105;Este;519;961;39.000; Level
Thu 05:23:20 PM;366.703;112.860;105;Este;519;961;39.000; Level
Thu 05:24:12 PM;366.502;114.278;98;Este;520;962;39.000; Level
Thu 05:24:40 PM;366.392;115.184;100;Este;520;962;39.000; Level
Thu 05:25:12 PM;366.271;116.146;98;Este;519;961;39.000; Level
Thu 05:25:42 PM;366.156;117.060;98;Este;519;961;39.000; Level
Thu 05:26:13 PM;366.049;117.915;98;Este;519;961;39.000; Level
Thu 05:28:13 PM;365.596;121.456;99;Este;517;958;39.000; Level
Thu 05:28:43 PM;365.477;122.372;99;Este;516;956;39.000; Level
Thu 05:29:13 PM;365.365;123.231;99;Este;516;956;39.000; Level
Thu 05:29:43 PM;365.247;124.131;99;Este;517;958;39.000; Level
Thu 05:30:14 PM;365.129;125.020;99;Este;519;961;39.000; Level
Thu 05:30:44 PM;365.011;125.913;99;Este;520;962;39.000; Level
Thu 05:31:22 PM;364.882;126.879;99;Este;522;967;39.000; Level
Thu 05:31:44 PM;364.773;127.691;99;Este;522;967;39.000; Level
