Fri 01:46:12 PM;405.363;-35.749;0;Norte;161;298;3.300; Level
Fri 01:46:28 PM;405.479;-35.750;359;Norte;154;285;4.100;2.323 Climbing
Fri 01:46:43 PM;405.588;-35.772;339;Norte;163;303;4.500;1.773 Climbing
Fri 01:47:12 PM;405.750;-35.976;310;Oeste;174;322;5.400;1.500 Climbing
Fri 01:47:27 PM;405.833;-36.103;312;Oeste;192;356;5.600;800 Climbing
Fri 01:47:42 PM;405.928;-36.238;315;Oeste;217;402;5.800;1.000 Climbing
Fri 01:47:57 PM;406.045;-36.384;318;Noroeste;244;452;6.100;1.400 Climbing
Fri 01:48:12 PM;406.177;-36.539;320;Noroeste;268;496;6.500;2.200 Climbing
Fri 01:48:27 PM;406.316;-36.709;309;Oeste;275;509;7.200;3.000 Climbing
Fri 01:48:42 PM;406.393;-36.937;282;Oeste;275;509;8.000;3.257 Climbing
Fri 01:49:02 PM;406.398;-37.273;268;Oeste;279;517;9.100;3.081 Climbing
Fri 01:49:19 PM;406.392;-37.511;269;Oeste;279;517;9.900;2.308 Climbing
Fri 01:50:07 PM;406.370;-38.429;263;Oeste;326;604;11.600;2.692 Climbing
Fri 01:50:37 PM;406.264;-39.014;256;Oeste;319;591;13.400;3.582 Climbing
Fri 01:51:14 PM;406.136;-39.698;257;Oeste;315;583;15.600;3.171 Climbing
Fri 01:51:47 PM;406.016;-40.315;252;Oeste;321;594;17.100;2.640 Climbing
Fri 01:52:04 PM;405.900;-40.615;245;Sudoeste;622;1152;17.800;2.280 Climbing
Fri 01:52:37 PM;405.646;-41.191;241;Sudoeste;339;628;19.000;2.559 Climbing
Fri 01:53:12 PM;405.374;-41.823;241;Sudoeste;338;626;20.700;2.585 Climbing
Fri 01:53:42 PM;405.140;-42.359;241;Sudoeste;343;636;21.800;1.846 Climbing
Fri 01:54:17 PM;404.860;-43.005;241;Sudoeste;360;666;22.700;2.209 Climbing
Fri 01:56:44 PM;403.611;-45.859;241;Sudoeste;368;681;28.500;2.266 Climbing
Fri 01:57:25 PM;403.250;-46.678;241;Sudoeste;377;698;29.800;1.865 Climbing
Fri 01:57:58 PM;402.969;-47.320;241;Sudoeste;384;711;30.800;1.619 Climbing
Fri 01:58:28 PM;402.719;-47.888;241;Sudoeste;390;723;31.500;1.600 Climbing
Fri 01:58:58 PM;402.437;-48.524;240;Sudoeste;393;727;32.400;1.600 Climbing
Fri 01:59:28 PM;402.152;-49.167;240;Sudoeste;400;740;33.100;1.800 Climbing
Fri 01:59:58 PM;401.863;-49.813;240;Sudoeste;396;734;34.200;2.167 Climbing
Fri 02:00:40 PM;401.494;-50.642;240;Sudoeste;386;715;35.700;1.750 Climbing
Fri 02:01:10 PM;401.223;-51.249;240;Sudoeste;390;723;36.300;989 Climbing
Fri 02:02:11 PM;400.724;-52.368;240;Sudoeste;400;740;37.200;1.339 Climbing
Fri 02:03:11 PM;400.103;-53.746;240;Sudoeste;388;719;39.000;1.667 Climbing
Fri 02:03:41 PM;399.832;-54.347;240;Sudoeste;385;713;39.700;789 Climbing
Fri 02:04:27 PM;399.413;-55.274;240;Sudoeste;397;735;40.000;395 Climbing
Fri 02:04:57 PM;399.131;-55.897;240;Sudoeste;403;747;40.200;492 Climbing
Fri 02:05:28 PM;398.835;-56.548;240;Sudoeste;409;758;40.500;492 Climbing
Fri 02:05:58 PM;398.544;-57.186;240;Sudoeste;413;764;40.700;500 Climbing
Fri 02:06:28 PM;398.271;-57.786;240;Sudoeste;416;771;41.000;200 Climbing
Fri 02:07:28 PM;397.662;-59.116;240;Sudoeste;415;769;41.000; Level
Fri 02:07:58 PM;397.368;-59.757;240;Sudoeste;414;766;41.000; Level
Fri 02:08:50 PM;396.939;-60.689;240;Sudoeste;410;760;41.000; Level
Fri 02:09:20 PM;396.580;-61.467;240;Sudoeste;407;753;41.000; Level
Fri 02:09:59 PM;396.204;-62.281;240;Sudoeste;405;750;41.000; Level
Fri 02:10:29 PM;395.915;-62.904;240;Sudoeste;404;748;41.000; Level
Fri 02:10:59 PM;395.626;-63.525;239;Sudoeste;403;747;41.000; Level
Fri 02:11:50 PM;395.132;-64.594;242;Sudoeste;397;735;41.000; Level
Fri 02:12:40 PM;394.737;-65.652;245;Sudoeste;391;724;41.000; Level
Fri 02:14:11 PM;394.044;-67.477;244;Sudoeste;393;727;41.000; Level
Fri 02:14:41 PM;393.768;-68.191;244;Sudoeste;393;727;41.000; Level
Fri 02:15:41 PM;393.296;-69.413;244;Sudoeste;397;735;41.000; Level
Fri 02:16:11 PM;393.032;-70.090;244;Sudoeste;398;737;41.000; Level
Fri 02:16:41 PM;392.785;-70.728;244;Sudoeste;399;739;41.000; Level
Fri 02:17:18 PM;392.268;-71.784;232;Sudoeste;410;760;41.000; Level
Fri 02:18:18 PM;391.525;-72.786;220;Sudoeste;423;784;41.000; Level
Fri 02:18:42 PM;391.342;-72.976;218;Sudoeste;425;787;41.000; Level
Fri 02:19:03 PM;390.797;-73.481;216;Sudoeste;427;790;41.000; Level
Fri 02:19:22 PM;390.701;-73.571;217;Sudoeste;427;790;41.000; Level
Fri 02:19:46 PM;390.446;-73.810;217;Sudoeste;425;787;41.000; Level
Fri 02:20:22 PM;389.732;-74.465;216;Sudoeste;419;776;41.000; Level
Fri 02:21:17 PM;388.895;-75.218;215;Sudoeste;415;769;41.000; Level
Fri 02:21:52 PM;388.316;-75.739;216;Sudoeste;413;764;41.000; Level
Fri 02:22:22 PM;387.861;-76.146;216;Sudoeste;414;766;41.000; Level
Fri 02:22:52 PM;387.375;-76.582;215;Sudoeste;415;769;41.000; Level
Fri 02:23:22 PM;386.903;-77.003;215;Sudoeste;415;769;41.000; Level
Fri 02:23:52 PM;386.413;-77.440;215;Sudoeste;418;774;41.000; Level
Fri 02:24:23 PM;385.937;-77.864;216;Sudoeste;420;777;41.000; Level
Fri 02:24:53 PM;385.474;-78.276;215;Sudoeste;421;779;41.000; Level
Fri 02:25:53 PM;384.494;-79.144;215;Sudoeste;424;785;41.000; Level
Fri 02:26:23 PM;384.012;-79.572;215;Sudoeste;426;789;41.000; Level
Fri 02:26:53 PM;383.523;-80.000;215;Sudoeste;428;793;41.000; Level
Fri 02:27:23 PM;383.051;-80.418;215;Sudoeste;429;795;41.000; Level
Fri 02:28:23 PM;382.035;-81.311;215;Sudoeste;431;798;41.000; Level
Fri 02:28:53 PM;381.559;-81.728;215;Sudoeste;431;798;41.000; Level
Fri 02:29:23 PM;381.067;-82.160;215;Sudoeste;431;798;41.000; Level
Fri 02:29:53 PM;380.574;-82.591;215;Sudoeste;431;798;41.000; Level
Fri 02:30:54 PM;379.585;-83.451;215;Sudoeste;432;800;41.000; Level
Fri 02:31:24 PM;379.073;-83.898;215;Sudoeste;434;803;41.000; Level
Fri 02:31:54 PM;378.592;-84.314;215;Sudoeste;435;806;41.000; Level
Fri 02:32:24 PM;378.076;-84.763;215;Sudoeste;437;810;41.000; Level
Fri 02:32:54 PM;377.575;-85.194;215;Sudoeste;438;811;41.000; Level
Fri 02:33:24 PM;377.072;-85.628;215;Sudoeste;439;813;41.000; Level
Fri 02:33:54 PM;376.569;-86.063;215;Sudoeste;440;814;41.000; Level
Fri 02:34:54 PM;375.563;-86.929;215;Sudoeste;439;813;41.000; Level
Fri 02:35:24 PM;375.042;-87.375;215;Sudoeste;439;813;41.000; Level
Fri 02:35:54 PM;374.539;-87.806;215;Sudoeste;438;811;41.000; Level
Fri 02:36:24 PM;374.036;-88.236;215;Sudoeste;438;811;41.000; Level
Fri 02:36:55 PM;373.533;-88.666;215;Sudoeste;438;811;41.000; Level
Fri 02:37:25 PM;373.030;-89.094;215;Sudoeste;437;810;41.000; Level
Fri 02:37:55 PM;372.528;-89.522;215;Sudoeste;437;810;41.000; Level
Fri 02:38:25 PM;372.076;-89.906;215;Sudoeste;437;810;41.000; Level
Fri 02:38:46 PM;371.741;-90.190;214;Sudoeste;427;790;41.000; Level
Fri 02:39:16 PM;371.206;-90.643;215;Sudoeste;437;810;41.000; Level
Fri 02:40:25 PM;370.035;-91.632;214;Sudoeste;436;808;41.000; Level
Fri 02:41:06 PM;369.366;-92.196;214;Sudoeste;436;808;41.000; Level
Fri 02:41:33 PM;368.847;-92.633;214;Sudoeste;437;810;41.000; Level
Fri 02:42:37 PM;367.825;-93.490;214;Sudoeste;437;810;41.000; Level
Fri 02:43:42 PM;366.714;-94.419;214;Sudoeste;439;813;41.000; Level
Fri 02:44:13 PM;366.242;-94.814;214;Sudoeste;440;814;41.000; Level
